month,city_tier,channel,spend,impressions,clicks,attributed_new_customers
2024-05,1,Influencer,43968.91,157340,2795,45
2024-05,1,Organic/SEO,35649.76,146923,2388,30
2024-05,1,Referral,17779.14,95835,895,15
2024-05,2,Meta Ads,50079.5,217241,2769,76
2024-05,2,Google Ads,32511.24,149691,1386,43
2024-05,2,Influencer,26966.03,85806,1247,43
2024-05,2,Organic/SEO,26194.34,121809,1127,32
2024-05,2,Referral,14054.04,51040,677,21
2024-05,3,Meta Ads,17653.62,58602,689,28
2024-05,3,Google Ads,7386.03,34524,470,14
2024-05,3,Influencer,12630.65,59206,542,23
2024-05,3,Organic/SEO,10541.12,33058,659,14
2024-05,3,Referral,8745.18,26799,299,14
2024-06,1,Meta Ads,228611.29,1052210,9852,157
2024-06,1,Google Ads,91047.0,396785,4978,87
2024-06,1,Influencer,56132.04,175984,3299,52
2024-06,1,Organic/SEO,31353.82,108449,1946,34
2024-06,1,Referral,21617.31,130361,1065,17
2024-06,2,Meta Ads,61181.18,219613,4111,76
2024-06,2,Google Ads,26094.06,96093,1731,43
2024-06,2,Influencer,36348.31,104479,1050,43
2024-06,2,Organic/SEO,21361.66,76429,744,32
2024-06,2,Referral,12883.37,52555,969,21
2024-06,3,Meta Ads,21441.14,138619,2625,33
2024-06,3,Google Ads,11022.09,39288,755,16
2024-06,3,Influencer,15337.24,51262,564,28
2024-06,3,Organic/SEO,8301.5,25791,336,16
2024-06,3,Referral,8512.56,36197,305,16
2024-07,1,Meta Ads,264414.98,1244739,18461,215
2024-07,1,Google Ads,150138.45,850839,13364,119
2024-07,1,Influencer,97782.69,422990,3791,71
2024-07,1,Organic/SEO,49428.49,154495,2302,47
2024-07,1,Referral,23558.61,103132,1997,23
2024-07,2,Meta Ads,84872.34,343858,5864,108
2024-07,2,Google Ads,40612.43,117680,2287,62
2024-07,2,Influencer,42206.42,138189,2611,62
2024-07,2,Organic/SEO,30221.74,193619,2520,46
2024-07,2,Referral,23774.79,76206,879,31
2024-07,3,Meta Ads,27116.42,81340,1311,35
2024-07,3,Google Ads,8357.09,34385,332,17
2024-07,3,Influencer,19264.55,85365,1571,29
2024-07,3,Organic/SEO,11682.64,48578,501,17
2024-07,3,Referral,10123.82,37838,480,17
2024-08,1,Meta Ads,258318.5,1057906,18861,236
2024-08,1,Google Ads,136711.79,421936,7272,131
2024-08,1,Influencer,81071.92,525046,6372,78
2024-08,1,Organic/SEO,69656.34,230874,4613,52
2024-08,1,Referral,22808.29,66229,779,26
2024-08,2,Meta Ads,81969.09,264408,4519,105
2024-08,2,Google Ads,54036.18,346701,5780,60
2024-08,2,Influencer,45162.23,169015,3103,60
2024-08,2,Organic/SEO,37727.36,240968,3690,45
2024-08,2,Referral,17124.26,73466,1184,30
2024-08,3,Meta Ads,26673.62,101597,888,43
2024-08,3,Google Ads,13313.21,48432,789,21
2024-08,3,Influencer,28310.76,88484,1716,36
2024-08,3,Organic/SEO,12971.05,37507,303,21
2024-08,3,Referral,15444.96,84601,1432,21
2024-09,1,Meta Ads,347185.66,1829282,22926,260
2024-09,1,Google Ads,143063.5,496802,9211,144
2024-09,1,Influencer,88284.18,434438,6245,86
2024-09,1,Organic/SEO,50271.82,298693,4554,57
2024-09,1,Referral,35868.47,176129,1790,28
2024-09,2,Meta Ads,100111.58,333499,5985,128
2024-09,2,Google Ads,46103.18,223629,3184,73
2024-09,2,Influencer,51402.9,151082,3019,73
2024-09,2,Organic/SEO,37587.76,221185,2040,55
2024-09,2,Referral,23987.43,129352,2097,36
2024-09,3,Meta Ads,26629.26,141796,2430,39
2024-09,3,Google Ads,15143.72,44358,599,19
2024-09,3,Influencer,19620.29,70692,1133,33
2024-09,3,Organic/SEO,11892.35,73247,793,19
2024-09,3,Referral,15963.55,59211,939,19
2024-10,1,Meta Ads,675580.26,2445403,37150,565
2024-10,1,Google Ads,298954.81,1365685,21303,314
2024-10,1,Influencer,278589.07,998326,18642,188
2024-10,1,Organic/SEO,154334.83,775470,9529,125
2024-10,1,Referral,79977.22,337465,3860,62
2024-10,2,Meta Ads,188953.1,668878,8141,256
2024-10,2,Google Ads,90981.99,437541,8257,146
2024-10,2,Influencer,115330.23,353627,6479,146
2024-10,2,Organic/SEO,59719.59,281153,4927,109
2024-10,2,Referral,50005.13,270361,3186,73
2024-10,3,Meta Ads,51959.87,168986,3023,91
2024-10,3,Google Ads,22786.24,131344,1975,45
2024-10,3,Influencer,37056.14,215162,2855,76
2024-10,3,Organic/SEO,26543.09,87238,1187,45
2024-10,3,Referral,33445.09,188136,1752,45
2024-11,1,Meta Ads,640739.13,3685572,60459,490
2024-11,1,Google Ads,356162.33,1203129,22442,272
2024-11,1,Influencer,171195.21,614011,4917,163
2024-11,1,Organic/SEO,117116.15,491813,7626,108
2024-11,1,Referral,56291.9,251763,4541,54
2024-11,2,Meta Ads,160541.56,594048,8256,261
2024-11,2,Google Ads,94318.17,443484,5071,149
2024-11,2,Influencer,135424.39,594820,8590,149
2024-11,2,Organic/SEO,83543.12,241080,2686,111
2024-11,2,Referral,49305.59,181322,1762,74
2024-11,3,Meta Ads,43056.52,124096,1744,79
2024-11,3,Google Ads,26887.46,95992,1260,39
2024-11,3,Influencer,39726.64,251065,4808,66
2024-11,3,Organic/SEO,33172.31,184116,1822,39
2024-11,3,Referral,19511.88,89419,936,39
2024-12,1,Meta Ads,491581.51,1504447,14388,374
2024-12,1,Google Ads,264898.21,789987,6654,208
2024-12,1,Influencer,185562.34,785831,12706,124
2024-12,1,Organic/SEO,95953.6,524951,8501,83
2024-12,1,Referral,37015.46,165954,2218,41
2024-12,2,Meta Ads,129012.92,816496,8599,185
2024-12,2,Google Ads,83223.35,475954,4061,105
2024-12,2,Influencer,87936.86,364202,5566,105
2024-12,2,Organic/SEO,43617.54,150891,1907,79
2024-12,2,Referral,32159.08,134779,1148,52
2024-12,3,Meta Ads,44383.71,146975,1789,67
2024-12,3,Google Ads,27395.36,158772,2579,33
2024-12,3,Influencer,44715.46,144124,1432,56
2024-12,3,Organic/SEO,19699.61,78608,1003,33
2024-12,3,Referral,18591.37,56017,524,33
2025-01,1,Meta Ads,365213.62,1331720,24452,421
2025-01,1,Google Ads,314921.16,1236453,18951,234
2025-01,1,Influencer,140590.59,842816,12110,140
2025-01,1,Organic/SEO,114826.61,357826,5677,93
2025-01,1,Referral,53009.89,171208,2623,46
2025-01,2,Meta Ads,163001.04,766112,15230,193
2025-01,2,Google Ads,88101.47,323050,6121,110
2025-01,2,Influencer,62346.53,199263,3351,110
2025-01,2,Organic/SEO,62248.91,193176,2059,82
2025-01,2,Referral,30689.23,89392,1701,55
2025-01,3,Meta Ads,51600.58,306056,5181,75
2025-01,3,Google Ads,21814.82,62939,540,37
2025-01,3,Influencer,38090.02,205339,3996,63
2025-01,3,Organic/SEO,23340.22,67946,804,37
2025-01,3,Referral,29730.8,171067,1768,37
2025-02,1,Meta Ads,386938.25,1108680,21284,383
2025-02,1,Google Ads,307240.63,1904409,32874,213
2025-02,1,Influencer,181213.62,663269,7755,127
2025-02,1,Organic/SEO,90139.94,522817,8328,85
2025-02,1,Referral,43612.73,154801,1919,42
2025-02,2,Meta Ads,156234.79,506722,5195,186
2025-02,2,Google Ads,69791.92,384253,5187,106
2025-02,2,Influencer,64907.16,201399,2067,106
2025-02,2,Organic/SEO,63011.21,188920,2329,79
2025-02,2,Referral,37177.31,158599,1400,53
2025-02,3,Meta Ads,51255.02,271862,3939,68
2025-02,3,Google Ads,18472.13,56968,895,34
2025-02,3,Influencer,26259.97,95505,1453,56
2025-02,3,Organic/SEO,19293.54,74484,1212,34
2025-02,3,Referral,23688.46,154550,1562,34
2025-03,1,Meta Ads,599906.08,2609796,23205,471
2025-03,1,Google Ads,272020.53,837398,7793,261
2025-03,1,Influencer,170583.83,1018712,19199,157
2025-03,1,Organic/SEO,137040.4,395034,4050,104
2025-03,1,Referral,63500.43,282086,4306,52
2025-03,2,Meta Ads,186062.07,692043,12537,226
2025-03,2,Google Ads,99436.14,391908,6193,129
2025-03,2,Influencer,88547.15,333734,3402,129
2025-03,2,Organic/SEO,80520.76,520580,10027,96
2025-03,2,Referral,43683.52,158237,1684,64
2025-03,3,Meta Ads,64350.99,184069,3067,84
2025-03,3,Google Ads,21643.21,77949,1122,42
2025-03,3,Influencer,41559.33,253275,4671,70
2025-03,3,Organic/SEO,23178.5,76245,1420,42
2025-03,3,Referral,25372.83,93793,1324,42
2025-04,1,Meta Ads,514120.12,1488646,15856,502
2025-04,1,Google Ads,344646.91,2119359,38353,279
2025-04,1,Influencer,174326.07,832755,14517,167
2025-04,1,Organic/SEO,119418.32,538649,8066,111
2025-04,1,Referral,68290.99,214694,2594,55
2025-04,2,Meta Ads,163393.96,932061,15239,246
2025-04,2,Google Ads,108204.59,621619,11022,140
2025-04,2,Influencer,96071.62,347404,3133,140
2025-04,2,Organic/SEO,65153.59,245572,2045,105
2025-04,2,Referral,52963.07,173909,2742,70
2025-04,3,Meta Ads,64053.77,192918,3109,95
2025-04,3,Google Ads,32890.75,104896,1425,47
2025-04,3,Influencer,55352.85,170362,2869,79
2025-04,3,Organic/SEO,26865.38,79447,1093,47
2025-04,3,Referral,27939.91,134742,1943,47
2025-05,1,Meta Ads,641840.48,3674865,51211,519
2025-05,1,Google Ads,339045.09,1259481,15154,288
2025-05,1,Influencer,186211.16,599090,8994,173
2025-05,1,Organic/SEO,147604.98,464439,5012,115
2025-05,1,Referral,80622.51,232591,3484,57
2025-05,2,Meta Ads,217359.2,1239689,10703,270
2025-05,2,Google Ads,95606.47,487757,5550,154
2025-05,2,Influencer,132183.44,448103,3730,154
2025-05,2,Organic/SEO,89795.8,385422,4396,115
2025-05,2,Referral,66810.89,214617,2102,77
2025-05,3,Meta Ads,53959.15,197489,1871,98
2025-05,3,Google Ads,34416.35,144415,1667,49
2025-05,3,Influencer,38121.81,122305,1786,82
2025-05,3,Organic/SEO,28643.64,190766,3292,49
2025-05,3,Referral,30306.72,106365,1410,49
2025-06,1,Meta Ads,567975.19,1811442,32194,577
2025-06,1,Google Ads,427845.93,1916379,21666,320
2025-06,1,Influencer,230313.63,687089,6569,192
2025-06,1,Organic/SEO,175206.15,667896,7043,128
2025-06,1,Referral,72181.59,427970,4853,64
2025-06,2,Meta Ads,245024.32,1231720,13689,280
2025-06,2,Google Ads,125486.17,439873,5268,160
2025-06,2,Influencer,118825.31,509910,5392,160
2025-06,2,Organic/SEO,82375.97,276584,2496,120
2025-06,2,Referral,68201.0,274109,5328,80
2025-06,3,Meta Ads,57190.03,282795,3196,99
2025-06,3,Google Ads,27761.1,91963,961,49
2025-06,3,Influencer,68133.41,377685,3474,83
2025-06,3,Organic/SEO,27722.16,84152,891,49
2025-06,3,Referral,31356.03,131226,2128,49
2025-07,1,Meta Ads,700770.66,2312128,18905,614
2025-07,1,Google Ads,407858.23,2150815,38301,341
2025-07,1,Influencer,263039.64,1735647,28750,204
2025-07,1,Organic/SEO,189891.03,1040661,20138,136
2025-07,1,Referral,85333.97,413393,3477,68
2025-07,2,Meta Ads,174918.27,795513,14021,287
2025-07,2,Google Ads,119873.67,690207,12238,164
2025-07,2,Influencer,112070.3,399473,3947,164
2025-07,2,Organic/SEO,77071.24,397860,7890,123
2025-07,2,Referral,67453.77,282135,2353,82
2025-07,3,Meta Ads,52614.83,293165,4268,109
2025-07,3,Google Ads,27617.19,89817,939,54
2025-07,3,Influencer,66007.39,196239,1856,91
2025-07,3,Organic/SEO,37020.85,138784,2069,54
2025-07,3,Referral,29895.78,101067,821,54
2025-08,1,Meta Ads,809013.51,3671213,67676,652
2025-08,1,Google Ads,373428.01,2335581,30953,362
2025-08,1,Influencer,231316.21,783555,14555,217
2025-08,1,Organic/SEO,191113.0,863571,9645,144
2025-08,1,Referral,82473.92,242368,2296,72
2025-08,2,Meta Ads,231384.56,912971,8612,314
2025-08,2,Google Ads,109528.25,405196,4608,179
2025-08,2,Influencer,92287.24,334619,6411,179
2025-08,2,Organic/SEO,112863.91,676480,8804,134
2025-08,2,Referral,62804.06,218214,3680,89
2025-08,3,Meta Ads,69173.96,434133,7763,115
2025-08,3,Google Ads,37749.17,163707,1769,57
2025-08,3,Influencer,56621.44,338940,3155,96
2025-08,3,Organic/SEO,46391.77,203977,3820,57
2025-08,3,Referral,35300.52,132292,2011,57
2025-09,1,Meta Ads,935097.19,2824054,51290,652
2025-09,1,Google Ads,444192.63,1893216,32897,362
2025-09,1,Influencer,222811.78,767364,13948,217
2025-09,1,Organic/SEO,182419.67,780998,15012,145
2025-09,1,Referral,87591.06,279325,4811,72
2025-09,2,Meta Ads,174563.73,513967,8417,294
2025-09,2,Google Ads,115411.48,336071,4015,168
2025-09,2,Influencer,93669.53,565768,4619,168
2025-09,2,Organic/SEO,116572.31,468097,3844,126
2025-09,2,Referral,64225.84,231801,3210,84
2025-09,3,Meta Ads,83522.33,514304,4225,116
2025-09,3,Google Ads,40420.2,167888,2383,58
2025-09,3,Influencer,55100.39,325505,5630,97
2025-09,3,Organic/SEO,39897.5,128388,2562,58
2025-09,3,Referral,30159.38,92816,1392,58
2025-10,1,Meta Ads,1114568.63,5640788,111861,911
2025-10,1,Google Ads,440403.95,1692679,15429,506
2025-10,1,Influencer,378431.02,1367605,18954,303
2025-10,1,Organic/SEO,214288.36,1308572,22532,202
2025-10,1,Referral,132264.08,468731,5891,101
2025-10,2,Meta Ads,400139.96,1421974,21898,439
2025-10,2,Google Ads,165371.49,560107,5959,251
2025-10,2,Influencer,155688.68,626107,8003,251
2025-10,2,Organic/SEO,138179.11,808922,12359,188
2025-10,2,Referral,97264.5,417606,6586,125
2025-10,3,Meta Ads,115626.86,464292,5102,165
2025-10,3,Google Ads,61822.6,229035,1915,82
2025-10,3,Influencer,98706.64,434338,8455,137
2025-10,3,Organic/SEO,45615.53,182089,1617,82
2025-10,3,Referral,67893.14,194967,2935,82
2025-11,1,Meta Ads,825615.02,2555419,44540,855
2025-11,1,Google Ads,511605.92,1740689,34253,475
2025-11,1,Influencer,299392.37,1432648,21769,285
2025-11,1,Organic/SEO,168965.0,915958,14272,190
2025-11,1,Referral,116834.07,472717,7982,95
2025-11,2,Meta Ads,272600.37,1229801,18874,425
2025-11,2,Google Ads,200821.9,597801,9200,243
2025-11,2,Influencer,184793.28,671877,9488,243
2025-11,2,Organic/SEO,109837.59,363466,5948,182
2025-11,2,Referral,78024.74,353955,4709,121
2025-11,3,Meta Ads,90789.45,586262,10702,151
2025-11,3,Google Ads,59157.69,259600,3337,75
2025-11,3,Influencer,66656.56,239304,3438,126
2025-11,3,Organic/SEO,54620.86,239789,2016,75
2025-11,3,Referral,46520.09,202596,2831,75
2025-12,1,Meta Ads,772547.51,3829721,51078,770
2025-12,1,Google Ads,499552.22,2431215,21021,428
2025-12,1,Influencer,220346.68,1220803,16350,256
2025-12,1,Organic/SEO,244622.22,919975,16785,171
2025-12,1,Referral,97877.38,297537,5558,85
2025-12,2,Meta Ads,193699.34,787286,6704,350
2025-12,2,Google Ads,138445.48,674615,7091,200
2025-12,2,Influencer,107371.52,441222,5356,200
2025-12,2,Organic/SEO,116499.38,370365,4271,150
2025-12,2,Referral,66693.46,276964,2568,100
2025-12,3,Meta Ads,95294.89,382502,6306,132
2025-12,3,Google Ads,34352.61,184523,2465,66
2025-12,3,Influencer,53002.51,317040,4423,110
2025-12,3,Organic/SEO,34532.26,112869,1979,66
2025-12,3,Referral,48164.94,236019,4387,66
