order_id,customer_id,order_date,city,city_tier,category,order_value,is_cod,is_returned,delivery_days,shipping_cost
ORD200046,CUST105616,2024-07-21,Patna,2,Body Care,653.66,False,True,3.6,74.34
ORD200047,CUST105616,2024-01-12,Patna,2,Face Care,707.36,True,False,2.8,65.33
ORD200048,CUST105616,2024-08-08,Patna,2,Face Care,738.43,True,False,1.8,49.23
ORD200049,CUST105616,2024-02-26,Patna,2,Hair Care,316.43,False,False,2.8,49.53
ORD200050,CUST105616,2024-02-23,Patna,2,Face Care,644.9,True,False,2.3,56.47
ORD200051,CUST111639,2024-01-14,Mumbai,1,Body Care,644.64,False,False,2.4,50.71
ORD200052,CUST111639,2024-04-09,Mumbai,1,Body Care,842.28,True,False,2.9,71.36
ORD200053,CUST111639,2024-11-24,Mumbai,1,Face Care,747.18,False,False,1.5,54.38
ORD200054,CUST111639,2024-01-15,Mumbai,1,Face Care,632.67,False,True,1.8,46.71
ORD200055,CUST111639,2025-07-05,Mumbai,1,Body Care,325.54,False,True,2.1,58.56
ORD200056,CUST111639,2024-08-11,Mumbai,1,Face Care,744.14,False,False,1.8,51.3
ORD200057,CUST111639,2024-04-29,Mumbai,1,Face Care,353.01,True,False,5.1,71.5
ORD200058,CUST126365,2024-01-14,Lucknow,2,Face Care,1170.26,False,True,3.6,65.62
ORD200059,CUST126365,2024-01-16,Lucknow,2,Face Care,331.46,True,True,4.8,68.54
ORD200060,CUST126365,2024-06-30,Lucknow,2,Face Care,264.29,False,False,3.4,65.21
ORD200061,CUST126365,2024-02-04,Lucknow,2,Sunscreen,358.12,True,False,2.4,60.52
ORD200062,CUST126365,2025-10-17,Lucknow,2,Face Care,355.25,False,False,3.0,56.11
ORD200064,CUST116434,2024-01-14,Surat,2,Hair Care,523.34,True,True,2.2,50.0
ORD200065,CUST116434,2024-01-17,Surat,2,Combo/Kit,1842.1,True,True,2.3,53.65
ORD200066,CUST116434,2024-08-20,Surat,2,Combo/Kit,783.94,True,False,3.6,71.44
ORD200067,CUST116434,2024-04-06,Surat,2,Face Care,501.88,True,False,6.4,93.9
ORD200068,CUST116434,2024-10-24,Surat,2,Face Care,757.82,False,False,4.3,82.18
ORD200070,CUST105291,2024-01-16,Ludhiana,2,Hair Care,590.78,True,False,5.9,87.1
ORD200071,CUST105291,2024-02-21,Ludhiana,2,Face Care,766.35,True,False,3.4,70.07
ORD200072,CUST105291,2024-02-13,Ludhiana,2,Sunscreen,503.1,True,False,3.2,61.52
ORD200073,CUST105291,2024-06-04,Ludhiana,2,Body Care,502.07,True,True,3.4,65.53
ORD200075,CUST107827,2024-01-17,Vijayawada,2,Sunscreen,449.54,True,False,3.6,72.87
ORD200076,CUST107827,2025-02-03,Vijayawada,2,Combo/Kit,804.2,False,False,4.5,73.93
ORD200077,CUST107827,2024-01-30,Vijayawada,2,Face Care,482.32,True,False,4.5,77.08
ORD200078,CUST107827,2024-01-17,Vijayawada,2,Face Care,383.03,True,True,3.1,55.75
ORD200079,CUST139528,2024-01-15,Pune,1,Sunscreen,942.94,False,False,2.2,47.35
ORD200080,CUST139528,2024-05-18,Pune,1,Hair Care,536.31,False,False,1.9,43.21
ORD200081,CUST139528,2024-01-23,Pune,1,Body Care,786.72,False,False,3.5,62.12
ORD200082,CUST139528,2025-12-25,Pune,1,Face Care,1137.47,False,False,1.0,41.05
ORD200083,CUST139528,2025-02-22,Pune,1,Face Care,592.74,False,False,1.0,42.01
ORD200084,CUST139528,2024-10-19,Pune,1,Hair Care,663.08,False,False,1.0,51.06
ORD200085,CUST139528,2024-10-29,Pune,1,Face Care,984.62,False,False,2.6,57.83
ORD200087,CUST116236,2024-01-18,Guwahati,3,Hair Care,389.26,False,True,7.0,100.56
ORD200088,CUST116236,2024-09-21,Guwahati,3,Face Care,715.35,True,False,5.0,71.26
ORD200089,CUST116236,2024-08-03,Guwahati,3,Hair Care,557.6,True,False,4.9,87.93
ORD200090,CUST116236,2024-07-17,Guwahati,3,Body Care,530.5,True,True,4.9,77.11
ORD200092,CUST105741,2024-01-17,Bangalore,1,Face Care,790.65,True,False,1.0,48.87
ORD200093,CUST105741,2024-03-30,Bangalore,1,Face Care,1205.63,True,False,3.4,69.01
ORD200094,CUST105741,2024-04-07,Bangalore,1,Body Care,513.39,True,False,2.8,62.02
ORD200095,CUST105741,2024-11-25,Bangalore,1,Hair Care,676.4,True,False,3.2,66.23
ORD200097,CUST129586,2024-01-19,Delhi,1,Face Care,1071.48,False,False,1.2,49.54
ORD200098,CUST129586,2024-03-27,Delhi,1,Hair Care,329.26,False,False,1.9,52.09
ORD200099,CUST129586,2024-04-10,Delhi,1,Sunscreen,538.27,False,False,3.9,63.66
ORD200100,CUST129586,2025-02-20,Delhi,1,Body Care,604.1,False,False,2.6,65.2
ORD200101,CUST111250,2024-01-18,Bangalore,1,Combo/Kit,1489.97,False,True,1.9,44.85
ORD200102,CUST111250,2024-02-27,Bangalore,1,Combo/Kit,1626.24,True,True,3.6,71.51
ORD200103,CUST111250,2024-05-23,Bangalore,1,Face Care,753.22,False,False,3.4,66.99
ORD200104,CUST111250,2024-04-24,Bangalore,1,Hair Care,670.72,False,False,5.2,79.89
ORD200106,CUST112124,2024-01-17,Kolkata,1,Body Care,549.51,False,False,1.0,43.85
ORD200107,CUST112124,2024-03-21,Kolkata,1,Face Care,720.93,True,False,1.3,49.63
ORD200108,CUST112124,2024-06-15,Kolkata,1,Face Care,641.37,False,False,1.8,47.16
ORD200109,CUST112124,2025-12-10,Kolkata,1,Sunscreen,430.69,False,False,2.1,45.47
ORD200110,CUST112124,2025-02-15,Kolkata,1,Body Care,473.57,True,True,2.8,53.11
ORD200111,CUST112124,2024-07-14,Kolkata,1,Sunscreen,533.04,True,False,2.1,56.08
ORD200112,CUST112124,2024-09-13,Kolkata,1,Body Care,537.13,False,False,3.1,61.33
ORD200113,CUST132149,2024-01-17,Mumbai,1,Body Care,611.44,True,False,2.6,51.53
ORD200114,CUST132149,2024-01-30,Mumbai,1,Sunscreen,660.97,True,False,1.7,49.42
ORD200115,CUST132149,2024-03-06,Mumbai,1,Face Care,942.88,False,False,1.0,52.82
ORD200117,CUST128285,2024-01-17,Hyderabad,1,Hair Care,596.91,True,False,2.4,52.18
ORD200118,CUST128285,2024-01-23,Hyderabad,1,Hair Care,719.84,False,False,1.0,44.44
ORD200119,CUST128285,2024-09-17,Hyderabad,1,Hair Care,826.2,False,False,1.8,55.65
ORD200120,CUST128285,2024-03-06,Hyderabad,1,Sunscreen,390.34,False,False,2.4,60.07
ORD200121,CUST128285,2024-04-22,Hyderabad,1,Body Care,707.01,False,False,2.6,46.68
ORD200123,CUST140419,2024-01-21,Mumbai,1,Sunscreen,636.15,False,False,2.9,61.23
ORD200124,CUST140419,2024-09-08,Mumbai,1,Body Care,834.82,True,False,3.2,71.32
ORD200125,CUST140419,2024-11-13,Mumbai,1,Face Care,624.13,False,True,1.1,37.11
ORD200126,CUST140419,2024-01-25,Mumbai,1,Combo/Kit,1791.96,True,False,1.0,35.83
ORD200128,CUST134413,2024-01-18,Indore,2,Face Care,408.94,True,False,2.9,56.3
ORD200129,CUST134413,2024-02-23,Indore,2,Hair Care,393.48,True,False,4.7,77.65
ORD200130,CUST134413,2024-02-08,Indore,2,Combo/Kit,675.19,True,False,2.5,54.29
ORD200131,CUST134413,2025-02-02,Indore,2,Body Care,514.96,True,True,3.2,62.61
ORD200132,CUST134413,2024-11-15,Indore,2,Body Care,380.02,True,True,2.6,66.73
ORD200133,CUST103288,2024-01-20,Bangalore,1,Body Care,354.35,False,False,1.3,54.36
ORD200134,CUST103288,2024-01-22,Bangalore,1,Combo/Kit,947.27,True,False,1.3,45.26
ORD200135,CUST103288,2024-01-24,Bangalore,1,Hair Care,350.13,True,False,4.1,80.44
ORD200136,CUST103288,2025-05-09,Bangalore,1,Combo/Kit,2290.1,False,True,2.5,56.11
ORD200137,CUST103288,2024-12-08,Bangalore,1,Face Care,674.75,False,False,1.7,41.0
ORD200139,CUST120519,2024-01-22,Ahmedabad,1,Body Care,545.53,True,False,3.8,69.67
ORD200140,CUST120519,2024-01-29,Ahmedabad,1,Face Care,836.22,True,False,5.4,79.67
ORD200141,CUST120519,2024-02-20,Ahmedabad,1,Combo/Kit,1550.57,True,True,3.0,55.59
ORD200142,CUST111991,2024-01-19,Nagpur,2,Body Care,558.8,True,False,4.8,78.38
ORD200143,CUST111991,2024-07-09,Nagpur,2,Face Care,957.56,True,True,4.6,73.01
ORD200144,CUST111991,2024-12-29,Nagpur,2,Body Care,862.25,False,False,1.4,37.58
ORD200145,CUST111991,2024-07-31,Nagpur,2,Hair Care,886.3,False,False,3.8,67.08
ORD200146,CUST111991,2025-07-27,Nagpur,2,Face Care,783.78,True,False,4.3,73.76
ORD200147,CUST130854,2024-01-19,Pune,1,Sunscreen,502.86,True,False,4.0,66.74
ORD200148,CUST130854,2024-07-11,Pune,1,Body Care,1385.81,False,False,1.5,51.88
ORD200149,CUST130854,2024-04-15,Pune,1,Hair Care,614.01,False,False,,66.38
ORD200150,CUST130854,2024-06-14,Pune,1,Face Care,600.03,True,False,1.0,43.21
ORD200151,CUST130854,2025-01-10,Pune,1,Combo/Kit,835.75,False,False,3.3,67.75
ORD200152,CUST130854,2025-05-19,Pune,1,Combo/Kit,1248.12,False,False,4.1,72.1
ORD200153,CUST130854,2024-02-13,Pune,1,Sunscreen,372.29,False,False,3.7,72.84
ORD200155,CUST108383,2024-01-23,Delhi,1,Body Care,693.81,True,True,1.8,56.31
ORD200156,CUST108383,2024-02-01,Delhi,1,Face Care,769.34,True,False,1.8,51.66
ORD200157,CUST108383,2025-08-18,Delhi,1,Face Care,798.43,False,False,1.4,43.23
ORD200158,CUST108383,2024-04-22,Delhi,1,Body Care,392.47,False,False,1.2,32.6
ORD200159,CUST108383,2025-12-20,Delhi,1,Face Care,437.41,False,False,1.5,43.43
ORD200160,CUST110838,2024-01-21,Coimbatore,2,Face Care,630.71,False,False,2.6,51.66
ORD200161,CUST110838,2024-04-20,Coimbatore,2,Face Care,467.0,False,False,4.7,80.07
ORD200162,CUST110838,2024-12-28,Coimbatore,2,Face Care,856.01,True,False,2.2,53.1
ORD200163,CUST118858,2024-01-21,Kolkata,1,Combo/Kit,1506.73,False,True,2.4,57.85
ORD200164,CUST118858,2024-04-13,Kolkata,1,Face Care,602.03,True,False,1.7,57.34
ORD200165,CUST118858,2024-05-27,Kolkata,1,Body Care,799.2,True,False,1.0,34.32
ORD200166,CUST118858,2024-12-11,Kolkata,1,Hair Care,912.5,False,False,2.0,48.0
ORD200168,CUST112604,2024-01-20,Jodhpur,3,Face Care,394.09,True,False,6.5,89.63
ORD200169,CUST112604,2024-03-10,Jodhpur,3,Combo/Kit,478.07,True,False,6.9,94.7
ORD200170,CUST112604,2024-02-02,Jodhpur,3,Face Care,414.83,True,True,5.6,89.47
ORD200171,CUST112604,2025-01-14,Jodhpur,3,Hair Care,341.06,False,False,5.7,93.75
ORD200172,CUST112604,2024-09-11,Jodhpur,3,Body Care,744.34,True,True,3.6,65.12
ORD200173,CUST112604,2025-10-20,Jodhpur,3,Face Care,538.58,True,True,7.1,90.13
ORD200174,CUST112604,2024-02-28,Jodhpur,3,Body Care,451.66,True,False,8.8,117.81
ORD200175,CUST106765,2024-01-23,Ahmedabad,1,Combo/Kit,1037.23,False,False,3.3,66.24
ORD200176,CUST106765,2024-05-08,Ahmedabad,1,Face Care,617.86,False,False,1.0,41.17
ORD200177,CUST106765,2024-06-12,Ahmedabad,1,Body Care,277.23,True,False,2.6,61.44
ORD200178,CUST106765,2024-08-30,Ahmedabad,1,Face Care,480.39,False,False,3.8,64.34
ORD200180,CUST112628,2024-01-24,Ahmedabad,1,Body Care,941.99,False,False,1.0,45.43
ORD200181,CUST112628,2024-02-26,Ahmedabad,1,Face Care,834.54,True,False,2.7,64.94
ORD200182,CUST130834,2024-01-21,Chandigarh,2,Face Care,318.24,True,False,2.5,53.67
ORD200183,CUST130834,2024-02-14,Chandigarh,2,Body Care,550.13,True,False,6.5,90.39
ORD200184,CUST130834,2025-12-31,Chandigarh,2,Face Care,651.02,True,False,,85.77
ORD200185,CUST130834,2024-03-06,Chandigarh,2,Combo/Kit,603.57,True,False,5.1,84.3
ORD200187,CUST119774,2024-01-26,Mumbai,1,Sunscreen,360.99,False,False,2.5,65.87
ORD200188,CUST119774,2024-03-14,Mumbai,1,Hair Care,544.49,True,False,1.8,48.57
ORD200189,CUST114368,2024-01-24,Coimbatore,2,Body Care,677.16,True,True,4.4,76.46
ORD200190,CUST114368,2024-02-28,Coimbatore,2,Body Care,557.11,True,False,5.4,77.78
ORD200191,CUST114368,2024-03-15, Coimbatore ,2,Sunscreen,385.66,True,False,4.1,71.08
ORD200193,CUST130426,2024-01-27,Surat,2,Hair Care,370.42,True,False,4.5,72.36
ORD200194,CUST130426,2024-07-21,Surat,2,Face Care,789.24,True,False,3.7,61.09
ORD200195,CUST130426,2025-02-26,Surat,2,Face Care,445.27,False,False,3.9,72.49
ORD200196,CUST130426,2024-02-27,Surat,2,Combo/Kit,575.22,True,False,2.9,66.68
ORD200197,CUST130426,2025-03-12,Surat,2,Body Care,246.49,False,False,3.8,72.38
ORD200198,CUST130426,2024-07-28,Surat,2,Face Care,382.64,True,True,5.4,85.58
ORD200200,CUST118481,2024-01-25,Indore,2,Face Care,676.65,False,False,1.9,51.61
ORD200201,CUST118481,2024-03-09,Indore,2,Face Care,964.03,True,False,,74.77
ORD200202,CUST118481,2024-02-22,Indore,2,Hair Care,653.21,True,False,5.2,84.59
ORD200203,CUST118481,2024-02-23,Indore,2,Face Care,670.09,False,False,4.3,75.03
ORD200205,CUST123134,2024-01-25,mumbai,1,Sunscreen,573.48,False,False,1.0,50.94
ORD200206,CUST123134,2024-04-15,Mumbai,1,Face Care,1216.77,False,False,1.2,36.5
ORD200207,CUST123134,2024-03-28,Mumbai,1,Combo/Kit,1048.33,False,True,2.5,58.43
ORD200208,CUST106654,2024-01-28,Pune,1,Body Care,583.27,False,False,2.1,55.58
ORD200209,CUST106654,2024-07-15,Pune,1,Combo/Kit,1477.13,False,True,3.5,63.93
ORD200210,CUST106654,2024-02-13,Pune,1,Combo/Kit,1506.63,False,False,3.6,65.23
ORD200211,CUST106654,2024-04-05,Pune,1,Combo/Kit,2073.29,False,True,3.0,58.59
ORD200212,CUST106654,2024-02-12,Pune,1,Body Care,679.81,False,False,4.1,61.19
ORD200213,CUST106654,2024-08-30,Pune,1,Body Care,941.55,True,False,4.0,76.06
ORD200215,CUST114265,2024-01-25,Chennai,1,Face Care,863.52,True,False,1.2,51.7
ORD200216,CUST114265,2024-02-01,Chennai,1,Combo/Kit,1701.74,True,True,2.9,62.27
ORD200217,CUST114265,2024-02-05,Chennai,1,Face Care,268.58,True,True,2.6,54.6
ORD200218,CUST114265,2024-02-23,Chennai,1,Body Care,408.35,False,True,2.7,56.44
ORD200219,CUST114265,2025-05-17,Chennai,1,Body Care,1105.63,True,False,3.0,62.68
ORD200221,CUST101386,2024-01-27,Jodhpur,3,Body Care,327.37,True,False,6.0,86.53
ORD200222,CUST101386,2024-06-02,Jodhpur,3,Face Care,469.67,True,False,6.4,93.24
ORD200223,CUST101386,2024-10-30,Jodhpur,3,Combo/Kit,897.58,True,True,6.6,89.47
ORD200224,CUST101386,2025-03-10,Jodhpur,3,Body Care,416.44,True,False,6.3,102.93
ORD200225,CUST101386,2025-06-21,Jodhpur,3,Combo/Kit,986.25,True,False,6.0,81.42
ORD200226,CUST101386,2024-08-21,Jodhpur,3,Body Care,199.0,True,False,5.9,87.04
ORD200228,CUST124892,2024-01-30,Chennai,1,Body Care,598.58,True,False,2.5,50.63
ORD200229,CUST124892,2024-02-17,Chennai,1,Body Care,786.22,True,False,1.0,43.14
ORD200230,CUST124892,2024-02-04,Chennai,1,Face Care,488.68,True,False,1.0,47.73
ORD200231,CUST124892,2024-02-05,Chennai,1,Hair Care,368.66,True,True,3.7,72.14
ORD200233,CUST101111,2024-01-27,Hyderabad,1,Face Care,421.98,False,False,3.8,68.75
ORD200234,CUST101111,2024-02-07,Hyderabad,1,Face Care,970.62,True,False,3.7,61.32
ORD200235,CUST109991,2024-01-26,Siliguri,3,Face Care,650.55,True,False,6.1,86.2
ORD200236,CUST109991,2024-04-19,Siliguri,3,Face Care,674.15,True,False,6.3,91.38
ORD200237,CUST109991,2024-06-12,Siliguri,3,Face Care,550.95,False,False,5.4,79.69
ORD200238,CUST109991,2024-09-27,Siliguri,3,Sunscreen,608.84,False,False,6.8,97.8
ORD200239,CUST109991,2025-05-24,Siliguri,3,Face Care,433.31,True,False,6.3,92.38
ORD200240,CUST109991,2024-10-24,Siliguri,3,Sunscreen,339.63,True,False,4.8,84.2
ORD200242,CUST113768,2024-01-29,Mumbai,1,Face Care,1700.66,True,False,2.6,61.0
ORD200243,CUST113768,2024-02-07,Mumbai,1,Body Care,363.45,True,False,1.1,45.45
ORD200244,CUST113768,2024-04-25,Mumbai,1,Hair Care,557.0,False,False,2.2,51.78
ORD200245,CUST113768,2025-02-14,Mumbai,1,Hair Care,517.8,True,False,2.8,69.19
ORD200246,CUST122905,2024-01-30,Ahmedabad,1,Body Care,1065.83,True,False,3.9,64.5
ORD200247,CUST122905,2024-02-06,Ahmedabad,1,Sunscreen,241.73,False,False,4.1,75.98
ORD200248,CUST122905,2024-07-19,Ahmedabad,1,Face Care,562.94,True,False,2.1,51.5
ORD200249,CUST119543,2024-01-30,Chennai,1,Body Care,581.23,True,True,2.8,62.86
ORD200250,CUST119543,2024-02-18,Chennai,1,Face Care,568.89,False,False,1.0,43.72
ORD200251,CUST119543,2024-04-17,Chennai,1,Body Care,868.74,True,False,2.5,57.83
ORD200252,CUST119543,2024-07-18,Chennai,1,Combo/Kit,2663.72,False,False,1.4,45.1
ORD200253,CUST119543,2024-09-10,Chennai,1,Sunscreen,948.66,False,False,1.0,46.97
ORD200254,CUST130504,2024-01-29,Madurai,3,Hair Care,447.48,True,True,7.1,91.76
ORD200255,CUST130504,2024-03-01,Madurai,3,Combo/Kit,1494.11,True,False,8.4,119.67
ORD200256,CUST130504,2024-10-05,Madurai,3,Hair Care,587.36,True,False,6.8,96.36
ORD200257,CUST118387,2024-01-29,Bangalore,1,Face Care,1115.14,True,True,3.8,69.61
ORD200258,CUST118387,2024-02-27,Bangalore,1,Face Care,750.95,False,False,2.1,54.81
ORD200259,CUST118387,2024-08-06,Bangalore,1,Hair Care,744.45,False,False,1.0,44.68
ORD200260,CUST118387,2025-11-17,Bangalore,1,Body Care,410.47,False,False,1.0,49.22
ORD200261,CUST118387,2025-02-23,Bangalore,1,Face Care,465.25,True,True,3.5,70.71
ORD200262,CUST118387,2024-08-31,Bangalore,1,Face Care,727.12,True,False,1.8,50.49
ORD200264,CUST101787,2024-02-01,Pune,1,Combo/Kit,1031.29,False,False,2.3,63.14
ORD200265,CUST101787,2024-01-31,Pune,1,Combo/Kit,1451.75,True,False,1.9,49.7
ORD200266,CUST101787,2024-04-23,Pune,1,Face Care,487.83,True,True,3.1,57.94
ORD200267,CUST101787,2024-08-31,Pune,1,Body Care,506.03,True,False,1.0,46.3
ORD200268,CUST101787,2024-11-28,Pune,1,Hair Care,922.36,False,False,3.3,65.37
ORD200269,CUST101787,2025-06-26,Pune,1,Face Care,663.23,False,False,1.8,54.47
ORD200270,CUST101787,2025-10-19,Pune,1,Body Care,406.44,True,False,2.1,54.43
ORD200271,CUST101787,2025-07-14,Pune,1,Face Care,749.91,False,False,3.1,60.63
ORD200273,CUST111576,2024-01-28,Delhi,1,Face Care,650.09,True,False,3.3,65.15
ORD200274,CUST111576,2024-02-02,Delhi,1,Hair Care,732.92,False,False,3.3,52.96
ORD200275,CUST111576,2024-03-22,Delhi,1,Face Care,697.51,False,False,2.1,46.52
ORD200276,CUST111576,2025-01-26,Delhi,1,Hair Care,732.05,True,False,2.5,53.83
ORD200277,CUST111576,2024-07-14,Delhi,1,Hair Care,608.48,False,False,2.0,62.84
ORD200278,CUST111576,2024-03-08,Delhi,1,Body Care,423.93,False,False,3.1,66.46
ORD200279,CUST111576,2024-03-05,Delhi,1,Face Care,832.37,True,False,1.2,40.66
ORD200280,CUST140119,2024-01-29,Chandigarh,2,Sunscreen,395.94,True,False,3.0,68.13
ORD200281,CUST140119,2024-03-06,Chandigarh,2,Face Care,441.04,True,True,3.5,73.36
ORD200282,CUST140119,2024-07-29,Chandigarh,2,Face Care,688.04,False,False,2.7,64.62
ORD200284,CUST128274,2024-01-30,Vijayawada,2,Body Care,512.62,True,False,3.2,67.27
ORD200285,CUST128274,2024-03-01,Vijayawada,2,Body Care,793.46,True,False,6.0,85.14
ORD200286,CUST128274,2024-04-19,Vijayawada,2,Face Care,461.35,True,True,4.9,77.4
ORD200287,CUST128274,2024-04-14,Vijayawada,2,Face Care,502.62,True,True,5.2,88.37
ORD200288,CUST128274,2024-03-28,Vijayawada,2,Face Care,1291.38,False,False,5.4,85.73
ORD200289,CUST128274,2025-01-10,Vijayawada,2,Face Care,543.96,False,False,4.6,74.16
ORD200291,CUST106242,2024-02-01,Chennai,1,Hair Care,508.0,True,False,3.1,69.21
ORD200292,CUST106242,2024-06-21,Chennai,1,Body Care,496.17,False,True,2.6,68.15
ORD200293,CUST106242,2024-03-16,Chennai,1,Body Care,495.11,True,False,1.9,50.04
ORD200294,CUST106242,2024-08-09,Chennai,1,Sunscreen,276.76,False,False,3.0,53.68
ORD200296,CUST139874,2024-02-02,Chennai,1,Body Care,322.52,False,True,3.3,61.92
ORD200297,CUST139874,2024-05-24,Chennai,1,Face Care,773.79,False,False,1.0,45.14
ORD200298,CUST106904,2024-01-31,Nagpur,2,Sunscreen,237.64,False,False,4.4,74.4
ORD200299,CUST106904,2024-05-17,Nagpur,2,Body Care,349.74,False,False,6.2,90.65
ORD200300,CUST106904,2024-08-03,Nagpur,2,Body Care,416.68,True,False,5.4,76.68
ORD200301,CUST106904,2025-05-06,Nagpur,2,Sunscreen,559.53,True,False,4.5,82.98
ORD200302,CUST106904,2025-02-28,Nagpur,2,Hair Care,211.59,True,True,3.8,64.89
ORD200303,CUST106904,2025-08-11,Nagpur,2,Combo/Kit,586.1,True,False,3.2,63.5
ORD200304,CUST106904,2024-03-06,Nagpur,2,Face Care,885.9,True,False,1.2,51.72
ORD200305,CUST106904,2025-09-20,Nagpur,2,Hair Care,335.29,True,False,2.0,53.04
ORD200306,CUST106904,2024-02-10,Nagpur,2,Face Care,845.12,False,False,5.7,88.21
ORD200308,CUST104684,2024-02-02,Vijayawada,2,Combo/Kit,938.69,True,True,4.9,82.76
ORD200309,CUST104684,2024-03-12,Vijayawada,2,Face Care,669.58,True,False,3.7,72.95
ORD200310,CUST104684,2024-06-03,Vijayawada,2,Face Care,396.69,False,False,5.2,82.64
ORD200311,CUST104684,2024-11-20,Vijayawada,2,Body Care,557.99,True,False,3.5,61.83
ORD200313,CUST135902,2024-02-02,Lucknow,2,Combo/Kit,1443.09,False,False,1.8,51.83
ORD200314,CUST135902,2024-02-21,Lucknow,2,Body Care,476.87,True,True,4.4,85.6
ORD200315,CUST135902,2024-05-30,Lucknow,2,Face Care,551.4,True,False,5.5,83.6
ORD200316,CUST135902,2024-02-04,Lucknow,2,Face Care,527.17,False,False,2.6,63.63
ORD200318,CUST127617,2024-02-03,Bangalore,1,Face Care,562.32,True,True,3.8,66.6
ORD200319,CUST127617,2024-05-18,Bangalore,1,Body Care,713.3,False,False,3.2,66.62
ORD200320,CUST127617,2024-12-26,Bangalore,1,Face Care,420.09,False,False,4.4,76.98
ORD200321,CUST127617,2025-04-06,Bangalore,1,Combo/Kit,1039.85,True,False,1.0,32.56
