customer_id,city,city_tier,signup_date,acquisition_channel
CUST133973,Bangalore,1,2024-01-31,Referral
CUST130396,Jabalpur,3,2024-01-31,Influencer
CUST135000,Coimbatore,2,2024-01-31,Organic/SEO
CUST108509,Pune,1,2024-02-01,Meta Ads
CUST133911,Coimbatore,2,2024-02-01,Organic/SEO
CUST116536,Delhi,1,2024-02-01,Meta Ads
CUST105070,Mumbai,1,2024-02-01,Google Ads
CUST107033,Mumbai,1,2024-02-01,Google Ads
CUST121039,Amritsar,3,2024-02-01,Organic/SEO
CUST119964,Delhi,1,2024-02-02,Google Ads
CUST113235,Ahmedabad,1,2024-02-02,Meta Ads
CUST120119,Delhi,1,2024-02-02,Meta Ads
CUST106519,Pune,1,2024-02-02,Organic/SEO
CUST134789,Delhi,1,2024-02-03,Meta Ads
CUST111177,Bangalore,1,2024-02-03,Organic/SEO
CUST106665,Nagpur,2,2024-02-03,Meta Ads
CUST104845,Hyderabad,1,2024-02-04,Meta Ads
CUST101994,Hyderabad,1,2024-02-04,Influencer
CUST113649,Vijayawada,2,2024-02-05,Organic/SEO
CUST125999,Chennai,1,2024-02-05,Google Ads
CUST119563,Surat,2,2024-02-05,Google Ads
CUST101535,Coimbatore,2,2024-02-05,Organic/SEO
CUST111333,Patna,2,2024-02-05,Influencer
CUST139898,Nagpur,2,2024-02-05,Meta Ads
CUST137467,Mumbai,1,2024-02-06,Google Ads
CUST105319,Ahmedabad,1,2024-02-06,Meta Ads
CUST125988,Bhopal,2,2024-02-06,Organic/SEO
CUST132972,Ahmedabad,1,2024-02-07,Meta Ads
CUST107889,Ahmedabad,1,2024-02-07,Google Ads
CUST113064,Ludhiana,2,2024-02-07,Meta Ads
CUST103613,Hyderabad,1,2024-02-07,Meta Ads
CUST101164,Hyderabad,1,2024-02-07,Google Ads
CUST106854,Bangalore,1,2024-02-07,Meta Ads
CUST126490,Bangalore,1,2024-02-08,Google Ads
CUST125827,Hyderabad,1,2024-02-08,Google Ads
CUST109570,Patna,2,2024-02-08,Meta Ads
CUST117195,Pune,1,2024-02-08,Influencer
CUST107574,Kolkata,1,2024-02-08,Influencer
CUST128075,Mumbai,1,2024-02-08,Meta Ads
CUST103912,Pune,1,2024-02-08,Meta Ads
CUST122770,Indore,2,2024-02-09,Meta Ads
CUST120479,Hyderabad,1,2024-02-09,Meta Ads
CUST121604,Kolkata,1,2024-02-09,Google Ads
CUST126908,Vadodara,2,2024-02-09,Referral
CUST113358,Coimbatore,2,2024-02-10,Influencer
CUST123968,Patna,2,2024-02-10,Organic/SEO
CUST124833,Chennai,1,2024-02-10,Organic/SEO
CUST130389,Ahmedabad,1,2024-02-10,Meta Ads
CUST130669,Chandigarh,2,2024-02-10,Organic/SEO
CUST117673,Chandigarh,2,2024-02-11,Meta Ads
CUST105443,Patna,2,2024-02-11,Influencer
CUST102899,Vijayawada,2,2024-02-11,Google Ads
CUST140476,Nagpur,2,2024-02-11,Google Ads
CUST128556,Delhi,1,2024-02-11,Influencer
CUST100324,Lucknow,2,2024-02-12,Organic/SEO
CUST112918,Chennai,1,2024-02-12,Meta Ads
CUST123678,Ahmedabad,1,2024-02-12,Google Ads
CUST134733,Hyderabad,1,2024-02-12,Meta Ads
CUST117671,Ludhiana,2,2024-02-12,Influencer
CUST122345,Kolkata,1,2024-02-12,Google Ads
CUST101092,Madurai,3,2024-02-12,Meta Ads
CUST104219,Vadodara,2,2024-02-12,Meta Ads
CUST100610,Pune,1,2024-02-12,Meta Ads
CUST134294,Bhopal,2,2024-02-12,Influencer
CUST118503,Kota,3,2024-02-12,Referral
CUST101258,Ludhiana,2,2024-02-13,Google Ads
CUST131897,Chennai,1,2024-02-13,Google Ads
CUST103232,Bangalore,1,2024-02-13,Referral
CUST127285,Ahmedabad,1,2024-02-13,Google Ads
CUST125659,Patna,2,2024-02-13,Influencer
CUST130309,Gwalior,3,2024-02-14,Google Ads
CUST128198,Bhopal,2,2024-02-14,Meta Ads
CUST132950,Delhi,1,2024-02-14,Google Ads
CUST118246,Chennai,1,2024-02-14,Google Ads
CUST112347,Kochi,2,2024-02-14,Influencer
CUST136928,Lucknow,2,2024-02-14,Influencer
CUST137401,Bangalore,1,2024-02-14,Influencer
CUST136224,Bhopal,2,2024-02-14,Google Ads
CUST118604,Patna,2,2024-02-14,Influencer
CUST120856,Bangalore,1,2024-02-14,Meta Ads
CUST120044,Bangalore,1,2024-02-14,Organic/SEO
CUST117538,Vijayawada,2,2024-02-14,Referral
CUST134637,Kochi,2,2024-02-14,Meta Ads
CUST114007,Kochi,2,2024-02-15,Google Ads
CUST114289,Kolkata,1,2024-02-15,Meta Ads
CUST135961,Ahmedabad,1,2024-02-15,Google Ads
CUST116286,Coimbatore,2,2024-02-15,Google Ads
CUST117501,Bangalore,1,2024-02-16,Meta Ads
CUST109462,Bhopal,2,2024-02-16,Meta Ads
CUST114754,Kota,3,2024-02-16,Influencer
CUST108680,Ranchi,3,2024-02-16,Meta Ads
CUST102938,Ranchi,3,2024-02-16,Meta Ads
CUST135569,Mumbai,1,2024-02-16,Google Ads
CUST119100,Vadodara,2,2024-02-16,Meta Ads
CUST136846,Pune,1,2024-02-16,Meta Ads
CUST104220,Siliguri,3,2024-02-16,Meta Ads
CUST108868,Mumbai,1,2024-02-17,Meta Ads
CUST110726,Chennai,1,2024-02-17,Meta Ads
CUST120553,Ahmedabad,1,2024-02-17,Google Ads
CUST125711,Kochi,2,2024-02-17,Influencer
CUST131153,Amritsar,3,2024-02-17,Influencer
CUST121860,Pune,1,2024-02-17,Meta Ads
CUST109232,Patna,2,2024-02-17,Meta Ads
CUST134021,Indore,2,2024-02-17,Organic/SEO
CUST101715,Varanasi,3,2024-02-17,Influencer
CUST137559,Pune,1,2024-02-17,Meta Ads
CUST125613,Ahmedabad,1,2024-02-17,Meta Ads
CUST118744,Pune,1,2024-02-18,Referral
CUST133737,Delhi,1,2024-02-18,Google Ads
CUST112304,Visakhapatnam,2,2024-02-18,Referral
CUST102981,Nagpur,2,2024-02-18,Google Ads
CUST117160,Kolkata,1,2024-02-18,Meta Ads
CUST124745,Siliguri,3,2024-02-18,Meta Ads
CUST109984,Delhi,1,2024-02-18,Influencer
CUST109084,Gwalior,3,2024-02-18,Meta Ads
CUST136570,Hyderabad,1,2024-02-19,Meta Ads
CUST120104,Kochi,2,2024-02-19,Google Ads
CUST133260,Ranchi,3,2024-02-19,Meta Ads
CUST129158,Gwalior,3,2024-02-19,Influencer
CUST117982,Pune,1,2024-02-19,Google Ads
CUST127400,Hyderabad,1,2024-02-20,Meta Ads
CUST120141,Bangalore,1,2024-02-20,Meta Ads
CUST122088,Chennai,1,2024-02-20,Google Ads
CUST113653,Surat,2,2024-02-20,Influencer
CUST111794,Chandigarh,2,2024-02-20,Meta Ads
CUST130233,Surat,2,2024-02-20,Meta Ads
CUST108834,Ranchi,3,2024-02-20,Meta Ads
CUST107190,Jabalpur,3,2024-02-21,Meta Ads
CUST117570,Jaipur,2,2024-02-21,Referral
CUST141561,Siliguri,3,2024-02-21,Meta Ads
CUST127289,Kolkata,1,2024-02-21,Meta Ads
CUST101499,Kolkata,1,2024-02-21,Google Ads
CUST129645,Pune,1,2024-02-21,Meta Ads
CUST133307,Nagpur,2,2024-02-22,Meta Ads
CUST103203,Ahmedabad,1,2024-02-22,Meta Ads
CUST124358,Vadodara,2,2024-02-22,Google Ads
CUST136872,Bhopal,2,2024-02-22,Meta Ads
CUST106892,Coimbatore,2,2024-02-22,Referral
CUST114731,Mumbai,1,2024-02-22,Meta Ads
CUST121535,Kolkata,1,2024-02-22,Meta Ads
CUST109759,Ludhiana,2,2024-02-22,Organic/SEO
CUST131526,Mumbai,1,2024-02-22,Organic/SEO
CUST140846,Siliguri,3,2024-02-22,Referral
CUST115516,Visakhapatnam,2,2024-02-23,Meta Ads
CUST102205,Delhi,1,2024-02-23,Google Ads
CUST128184,Vadodara,2,2024-02-23,Influencer
CUST138411,Dehradun,3,2024-02-23,Google Ads
CUST112223,Kota,3,2024-02-23,Organic/SEO
CUST123672,Delhi,1,2024-02-24,Google Ads
CUST135719,Bangalore,1,2024-02-24,Meta Ads
CUST124476,Delhi,1,2024-02-24,Google Ads
CUST136261,Mumbai,1,2024-02-24,Google Ads
CUST102741,Kolkata,1,2024-02-24,Google Ads
CUST104946,Kolkata,1,2024-02-24,Influencer
CUST105569,Kolkata,1,2024-02-24,Google Ads
CUST107933,Gwalior,3,2024-02-25,Google Ads
CUST135475,Surat,2,2024-02-25,Influencer
CUST111212,Kolkata,1,2024-02-26,Meta Ads
CUST111280,Chandigarh,2,2024-02-26,Organic/SEO
CUST120003,Ahmedabad,1,2024-02-26,Influencer
CUST129994,Lucknow,2,2024-02-26,Referral
CUST103594,Madurai,3,2024-02-26,Organic/SEO
CUST102463,Siliguri,3,2024-02-26,Influencer
CUST104068,Patna,2,2024-02-26,Google Ads
CUST102954,Raipur,3,2024-02-27,Organic/SEO
CUST130296,Surat,2,2024-02-27,Google Ads
CUST111937,Mumbai,1,2024-02-27,Meta Ads
CUST134246,Bangalore,1,2024-02-27,Meta Ads
CUST124023,Chandigarh,2,2024-02-27,Google Ads
CUST108145,Indore,2,2024-02-27,Google Ads
CUST128888,Delhi,1,2024-02-27,Meta Ads
CUST136927,Chennai,1,2024-02-27,Influencer
CUST114436,Hyderabad,1,2024-02-27,Google Ads
CUST138500,Bhopal,2,2024-02-28,Organic/SEO
CUST136110,Siliguri,3,2024-02-28,Meta Ads
CUST128035,Pune,1,2024-02-28,Google Ads
CUST108728,Delhi,1,2024-02-28,Google Ads
CUST133035,Mumbai,1,2024-02-28,Meta Ads
CUST100118,Hyderabad,1,2024-02-28,Meta Ads
CUST122653,Coimbatore,2,2024-02-29,Influencer
CUST118525,Delhi,1,2024-02-29,Meta Ads
CUST137193,Chennai,1,2024-02-29,Google Ads
CUST137913,Bangalore,1,2024-02-29,Meta Ads
CUST106305,Varanasi,3,2024-02-29,Meta Ads
CUST127391,Ranchi,3,2024-02-29,Organic/SEO
CUST135629,Bangalore,1,2024-02-29,Meta Ads
CUST124524,Pune,1,2024-02-29,Meta Ads
CUST120198,Delhi,1,2024-02-29,Organic/SEO
CUST129004,Jabalpur,3,2024-02-29,Meta Ads
CUST111925,Bhopal,2,2024-02-29,Meta Ads
CUST109402,Vijayawada,2,2024-02-29,Organic/SEO
CUST108946,Delhi,1,2024-02-29,Referral
CUST111669,Nagpur,2,2024-03-01,Google Ads
CUST130781,Kolkata,1,2024-03-01,Google Ads
CUST130630,Amritsar,3,2024-03-01,Referral
CUST140401,Jaipur,2,2024-03-01,Meta Ads
CUST111540,Chennai,1,2024-03-01,Organic/SEO
CUST116952,Ahmedabad,1,2024-03-01,Influencer
CUST132951,Jabalpur,3,2024-03-01,Referral
CUST118829,Jabalpur,3,2024-03-01,Meta Ads
CUST120717,Surat,2,2024-03-01,Influencer
CUST133573,Kolkata,1,2024-03-01,Google Ads
CUST118732,Delhi,1,2024-03-01,Organic/SEO
CUST106472,Delhi,1,2024-03-01,Meta Ads
CUST135457,Bangalore,1,2024-03-02,Meta Ads
CUST111929,Kolkata,1,2024-03-02,Meta Ads
CUST134017,Hyderabad,1,2024-03-02,Organic/SEO
CUST134146,Bangalore,1,2024-03-02,Google Ads
CUST126030,Siliguri,3,2024-03-02,Referral
CUST108935,Pune,1,2024-03-02,Influencer
CUST116367,Bhopal,2,2024-03-02,Meta Ads
CUST112876,Kota,3,2024-03-02,Referral
CUST110720,Surat,2,2024-03-02,Meta Ads
CUST131957,Chennai,1,2024-03-03,Influencer
CUST108217,Hyderabad,1,2024-03-03,Meta Ads
CUST112106,Ahmedabad,1,2024-03-03,Google Ads
CUST109481,Delhi,1,2024-03-03,Google Ads
CUST136772,Chennai,1,2024-03-03,Influencer
CUST125829,Raipur,3,2024-03-03,Influencer
CUST104915,Kolkata,1,2024-03-03,Meta Ads
CUST115592,Amritsar,3,2024-03-03,Google Ads
CUST128728,Guwahati,3,2024-03-03,Meta Ads
CUST113902,Visakhapatnam,2,2024-03-03,Meta Ads
CUST111065,Delhi,1,2024-03-03,Meta Ads
CUST121196,Gwalior,3,2024-03-03,Google Ads
CUST105898,Kota,3,2024-03-03,Meta Ads
CUST124054,Chandigarh,2,2024-03-04,Google Ads
CUST109749,Ranchi,3,2024-03-04,Google Ads
CUST139267,Surat,2,2024-03-04,Referral
CUST104934,Chennai,1,2024-03-04,Influencer
CUST132692,Kolkata,1,2024-03-04,Meta Ads
CUST131856,Vadodara,2,2024-03-04,Organic/SEO
CUST118760,Bhopal,2,2024-03-04,Google Ads
CUST117094,Bangalore,1,2024-03-05,Meta Ads
CUST103419,Kochi,2,2024-03-05,Google Ads
CUST116033,Madurai,3,2024-03-05,Influencer
CUST137914,Indore,2,2024-03-05,Organic/SEO
CUST132859,Ahmedabad,1,2024-03-05,Meta Ads
CUST139458,Jaipur,2,2024-03-05,Google Ads
CUST135840,Amritsar,3,2024-03-05,Referral
CUST141010,Hyderabad,1,2024-03-05,Meta Ads
CUST135279,Kolkata,1,2024-03-05,Influencer
CUST134503,Patna,2,2024-03-05,Referral
CUST127710,Surat,2,2024-03-05,Meta Ads
CUST115468,Jaipur,2,2024-03-05,Google Ads
CUST105856,Dehradun,3,2024-03-05,Influencer
CUST116017,Ahmedabad,1,2024-03-05,Influencer
CUST135260,Raipur,3,2024-03-05,Google Ads
CUST126631,Indore,2,2024-03-06,Google Ads
CUST137511,Visakhapatnam,2,2024-03-06,Google Ads
CUST137817,Pune,1,2024-03-06,Google Ads
CUST104133,Patna,2,2024-03-06,Google Ads
CUST127541,Siliguri,3,2024-03-06,Google Ads
CUST122035,Coimbatore,2,2024-03-06,Meta Ads
CUST116724,Kochi,2,2024-03-06,Referral
CUST105722,Jaipur,2,2024-03-06,Meta Ads
CUST131162,Hyderabad,1,2024-03-06,Meta Ads
CUST112851,Mumbai,1,2024-03-06,Google Ads
CUST138766,Pune,1,2024-03-06,Referral
CUST133729,Delhi,1,2024-03-06,Organic/SEO
CUST110853,Guwahati,3,2024-03-07,Organic/SEO
CUST104455,Ahmedabad,1,2024-03-07,Google Ads
CUST135234,Hyderabad,1,2024-03-07,Meta Ads
CUST137240,Pune,1,2024-03-07,Google Ads
CUST119722,Guwahati,3,2024-03-07,Influencer
CUST106443,Dehradun,3,2024-03-07,Referral
CUST131388,Ludhiana,2,2024-03-07,Referral
CUST131731,Bhopal,2,2024-03-07,Meta Ads
CUST133224,Chennai,1,2024-03-07,Influencer
CUST124829,Bhopal,2,2024-03-08,Organic/SEO
CUST125893,Mumbai,1,2024-03-08,Organic/SEO
CUST126143,Delhi,1,2024-03-08,Meta Ads
CUST107053,Nagpur,2,2024-03-08,Google Ads
CUST104448,Nagpur,2,2024-03-08,Influencer
CUST140079,Kolkata,1,2024-03-08,Google Ads
CUST111405,Mumbai,1,2024-03-08,Google Ads
CUST133617,Varanasi,3,2024-03-08,Influencer
CUST130266,Kolkata,1,2024-03-08,Meta Ads
CUST108669,Jaipur,2,2024-03-08,Google Ads
CUST125850,Ahmedabad,1,2024-03-08,Meta Ads
CUST123349,Ahmedabad,1,2024-03-08,Meta Ads
CUST120042,Chennai,1,2024-03-09,Google Ads
CUST115204,Hyderabad,1,2024-03-09,Organic/SEO
CUST108616,Chandigarh,2,2024-03-09,Meta Ads
CUST107022,Hyderabad,1,2024-03-09,Google Ads
CUST115690,Kolkata,1,2024-03-09,Meta Ads
CUST101976,Bangalore,1,2024-03-10,Meta Ads
CUST101523,Mumbai,1,2024-03-10,Meta Ads
CUST126697,Mumbai,1,2024-03-10,Influencer
CUST125529,Ahmedabad,1,2024-03-10,Meta Ads
CUST139670,Pune,1,2024-03-10,Influencer
CUST137181,Ahmedabad,1,2024-03-10,Influencer
CUST113034,Kota,3,2024-03-10,Influencer
CUST140576,Hyderabad,1,2024-03-10,Meta Ads
CUST125860,Vadodara,2,2024-03-10,Google Ads
CUST124649,Patna,2,2024-03-10,Meta Ads
CUST121444,Kolkata,1,2024-03-10,Google Ads
CUST125091,Vijayawada,2,2024-03-11,Influencer
CUST141269,Mumbai,1,2024-03-11,Google Ads
CUST118779,Bangalore,1,2024-03-11,Meta Ads
CUST139234,Kolkata,1,2024-03-11,Meta Ads
CUST126316,Hyderabad,1,2024-03-11,Meta Ads
CUST100977,Madurai,3,2024-03-11,Meta Ads
CUST129983,Siliguri,3,2024-03-11,Meta Ads
CUST118843,Vijayawada,2,2024-03-11,Meta Ads
CUST100549,Pune,1,2024-03-12,Meta Ads
CUST134607,Lucknow,2,2024-03-12,Meta Ads
CUST103943,Kolkata,1,2024-03-12,Google Ads
CUST132547,Bhopal,2,2024-03-12,Meta Ads
CUST139597,Kota,3,2024-03-12,Meta Ads
CUST139072,Kochi,2,2024-03-12,Google Ads
CUST133358,Kolkata,1,2024-03-12,Meta Ads
CUST129652,Hyderabad,1,2024-03-12,Meta Ads
CUST113940,Chennai,1,2024-03-13,Meta Ads
CUST103420,Ahmedabad,1,2024-03-13,Meta Ads
CUST115223,Chennai,1,2024-03-13,Google Ads
CUST129942,Nagpur,2,2024-03-13,Meta Ads
CUST126009,Kolkata,1,2024-03-13,Google Ads
CUST119109,Delhi,1,2024-03-13,Meta Ads
CUST110285,Bangalore,1,2024-03-13,Meta Ads
CUST133651,Mumbai,1,2024-03-13,Google Ads
CUST114393,Bangalore,1,2024-03-13,Meta Ads
CUST103956,Ludhiana,2,2024-03-13,Referral
CUST101401,Patna,2,2024-03-13,Organic/SEO
CUST128054,Kochi,2,2024-03-14,Meta Ads
CUST132405,Mumbai,1,2024-03-14,Google Ads
CUST117521,Pune,1,2024-03-14,Meta Ads
CUST121256,Bangalore,1,2024-03-14,Meta Ads
CUST113489,Coimbatore,2,2024-03-14,Influencer
CUST115493,Pune,1,2024-03-14,Influencer
CUST123857,Jaipur,2,2024-03-14,Google Ads
CUST101864,Visakhapatnam,2,2024-03-14,Influencer
CUST108347,Jaipur,2,2024-03-14,Meta Ads
CUST126104,Ahmedabad,1,2024-03-14,Organic/SEO
CUST140255,Bangalore,1,2024-03-15,Meta Ads
CUST130732,Hyderabad,1,2024-03-15,Meta Ads
CUST127041,Bangalore,1,2024-03-15,Meta Ads
CUST100383,Ludhiana,2,2024-03-15,Meta Ads
CUST121047,Delhi,1,2024-03-15,Google Ads
CUST117415,Bangalore,1,2024-03-15,Meta Ads
CUST103084,Chennai,1,2024-03-15,Meta Ads
CUST126308,Pune,1,2024-03-15,Organic/SEO
CUST108283,Delhi,1,2024-03-15,Meta Ads
CUST129560,Delhi,1,2024-03-15,Meta Ads
CUST119795,Ahmedabad,1,2024-03-15,Meta Ads
CUST124276,Chandigarh,2,2024-03-15,Organic/SEO
CUST105180,Mumbai,1,2024-03-15,Meta Ads
CUST126712,Chennai,1,2024-03-15,Meta Ads
CUST117838,Amritsar,3,2024-03-15,Organic/SEO
CUST121796,Patna,2,2024-03-16,Meta Ads
CUST137759,Mumbai,1,2024-03-16,Google Ads
CUST118101,Surat,2,2024-03-16,Influencer
CUST112003,Patna,2,2024-03-16,Google Ads
CUST103625,Pune,1,2024-03-16,Google Ads
CUST119231,Guwahati,3,2024-03-16,Organic/SEO
CUST122329,Kochi,2,2024-03-16,Referral
CUST141294,Kolkata,1,2024-03-16,Influencer
CUST111935,Bangalore,1,2024-03-17,Meta Ads
CUST121953,Kochi,2,2024-03-17,Meta Ads
CUST101656,Hyderabad,1,2024-03-17,Organic/SEO
CUST130179,Amritsar,3,2024-03-17,Influencer
CUST100808,Kolkata,1,2024-03-17,Meta Ads
CUST124240,Bangalore,1,2024-03-17,Meta Ads
CUST108292,Dehradun,3,2024-03-17,Google Ads
CUST100713,Dehradun,3,2024-03-17,Influencer
CUST113655,Ranchi,3,2024-03-17,Influencer
CUST116099,Delhi,1,2024-03-17,Meta Ads
CUST138266,Hyderabad,1,2024-03-18,Influencer
CUST122188,Surat,2,2024-03-18,Meta Ads
CUST111979,Chennai,1,2024-03-18,Meta Ads
CUST133543,Indore,2,2024-03-18,Meta Ads
CUST115222,Nagpur,2,2024-03-18,Influencer
CUST104801,Bhopal,2,2024-03-18,Organic/SEO
CUST119413,Delhi,1,2024-03-19,Organic/SEO
CUST131517,Delhi,1,2024-03-19,Google Ads
CUST140080,Kota,3,2024-03-19,Meta Ads
CUST141101,Chennai,1,2024-03-19,Meta Ads
CUST139463,Jaipur,2,2024-03-19,Meta Ads
CUST135066,Ranchi,3,2024-03-19,Meta Ads
CUST112350,Bangalore,1,2024-03-19,Influencer
CUST106970,Surat,2,2024-03-19,Influencer
CUST118889,Ahmedabad,1,2024-03-19,Meta Ads
CUST104515,Kochi,2,2024-03-19,Google Ads
CUST113883,Ludhiana,2,2024-03-19,Google Ads
CUST126125,Surat,2,2024-03-19,Referral
CUST125383,Bangalore,1,2024-03-19,Meta Ads
CUST117745,Pune,1,2024-03-20,Google Ads
CUST138579,Kolkata,1,2024-03-20,Referral
CUST117633,Jaipur,2,2024-03-20,Referral
CUST109283,Jabalpur,3,2024-03-20,Organic/SEO
CUST108433,Kochi,2,2024-03-20,Google Ads
CUST111613,Patna,2,2024-03-20,Referral
CUST141774,Pune,1,2024-03-20,Meta Ads
CUST125773,Siliguri,3,2024-03-20,Google Ads
CUST100893,Kolkata,1,2024-03-20,Organic/SEO
CUST111120,Hyderabad,1,2024-03-20,Influencer
CUST130563,Ahmedabad,1,2024-03-20,Organic/SEO
CUST134424,Kochi,2,2024-03-21,Referral
CUST117680,Coimbatore,2,2024-03-21,Meta Ads
CUST116305,Varanasi,3,2024-03-21,Influencer
CUST118428,Coimbatore,2,2024-03-21,Influencer
CUST135692,Kolkata,1,2024-03-21,Meta Ads
CUST108126,Ludhiana,2,2024-03-22,Google Ads
CUST127583,Coimbatore,2,2024-03-22,Meta Ads
CUST125577,Bhopal,2,2024-03-22,Meta Ads
CUST100317,Bangalore,1,2024-03-22,Organic/SEO
CUST114298,Mumbai,1,2024-03-22,Google Ads
CUST128944,Surat,2,2024-03-22,Meta Ads
CUST138662,Hyderabad,1,2024-03-22,Referral
CUST130592,Pune,1,2024-03-22,Referral
CUST110337,Ludhiana,2,2024-03-22,Google Ads
CUST135787,Madurai,3,2024-03-22,Referral
CUST119731,Hyderabad,1,2024-03-22,Meta Ads
CUST133829,Visakhapatnam,2,2024-03-22,Meta Ads
CUST110662,Siliguri,3,2024-03-23,Influencer
CUST123700,Kolkata,1,2024-03-23,Meta Ads
CUST136109,Indore,2,2024-03-23,Meta Ads
CUST115818,Kolkata,1,2024-03-23,Google Ads
CUST133349,Pune,1,2024-03-23,Meta Ads
CUST104207,Hyderabad,1,2024-03-23,Google Ads
CUST116217,Guwahati,3,2024-03-23,Referral
CUST135453,Chandigarh,2,2024-03-23,Referral
CUST115736,Delhi,1,2024-03-23,Influencer
CUST122604,Ahmedabad,1,2024-03-23,Influencer
CUST115125,Siliguri,3,2024-03-23,Influencer
CUST131649,Kolkata,1,2024-03-23,Meta Ads
CUST105156,Ranchi,3,2024-03-23,Google Ads
CUST122348,Coimbatore,2,2024-03-23,Organic/SEO
CUST124568,Guwahati,3,2024-03-23,Influencer
CUST117618,Kolkata,1,2024-03-23,Influencer
CUST141686,Pune,1,2024-03-23,Influencer
CUST103885,Hyderabad,1,2024-03-23,Influencer
CUST107077,Coimbatore,2,2024-03-23,Referral
CUST125380,Raipur,3,2024-03-23,Organic/SEO
CUST104468,Vijayawada,2,2024-03-24,Influencer
CUST111847,Hyderabad,1,2024-03-24,Meta Ads
CUST126748,Hyderabad,1,2024-03-24,Meta Ads
CUST120725,Chandigarh,2,2024-03-24,Meta Ads
CUST130357,Kota,3,2024-03-24,Referral
CUST119175,Ludhiana,2,2024-03-24,Meta Ads
CUST106544,Nagpur,2,2024-03-24,Meta Ads
CUST132203,Mumbai,1,2024-03-24,Google Ads
CUST116131,Bangalore,1,2024-03-24,Google Ads
CUST134092,Lucknow,2,2024-03-24,Influencer
CUST111657,Bangalore,1,2024-03-24,Google Ads
CUST101958,Guwahati,3,2024-03-24,Referral
CUST108700,Surat,2,2024-03-25,Google Ads
CUST131122,Pune,1,2024-03-25,Meta Ads
CUST129441,Dehradun,3,2024-03-25,Meta Ads
CUST107801,Hyderabad,1,2024-03-25,Meta Ads
CUST130369,Delhi,1,2024-03-25,Google Ads
